Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Move with a View","The Wart > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105862568/move-with-a-view,1.5,-1,TR,5.10a,1,50,42.07699,-113.72211
"West Chimney","Lookout Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119010038/west-chimney,1.5,-1,Trad,"5.6 PG13",1,80,42.07576,-113.71046
Tenshun,"Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106005279/tenshun,1.5,-1,Trad,5.7,1,80,42.08058,-113.72115
Dogleg,"Electric Avenue > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108118957/dogleg,1.5,-1,Trad,5.9+,1,60,42.06787,-113.70513
"Deep Dream","Window Rock - East > Window Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/116119794/deep-dream,1.3,-1,"Trad, TR","5.9 PG13",1,120,42.08603,-113.72268
"Summit Route","Buzzard Perch > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108207804/summit-route,1.3,-1,Trad,5.5,1,40,42.08525,-113.72139
"Corner Kick","Creekside > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/109496170/corner-kick,1.0,-1,Trad,5.6,1,120,42.08058,-113.72115
"Dying for Exposure","Lost Arrow Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119306351/dying-for-exposure,1.0,-1,Trad,"5.8 X",1,150,42.08568,-113.71267
"Family Affair","Owl Rock - West > Owl Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/121257634/family-affair,1.0,-1,TR,5.7,1,35,42.0856,-113.72833
"Rock Pedophile","The Clamshell > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/108316390/rock-pedophile,1.0,-1,Trad,"5.5 R",2,150,42.0864,-113.71963
"Jug City","Bucketland > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/112045231/jug-city,1.0,-1,Trad,"5.10 R",1,80,42.08623,-113.70079
NBD,"BFD Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107371231/nbd,1.0,-1,Trad,5.6,1,90,42.0422,-113.7178
WTF,"BFD Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107371257/wtf,1.0,-1,Trad,5.8,1,90,42.0422,-113.7178
"Excrement Adventure","White Wall > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/106051846/excrement-adventure,1.0,-1,Trad,5.9,1,60,42.09138,-113.70465
Greenwall,"Elephant Rock - North > Elephant Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118066599/greenwall,1.0,-1,Trad,5.7+,1,140,42.06716,-113.7094
"Fingers and Toads","Toad Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/115451945/fingers-and-toads,1.0,-1,Trad,5.0,1,35,42.06953,-113.70961
Piñata,"Fiesta Spire > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/119159419/pinata,1.0,-1,Trad,5.10a,1,75,42.10369,-113.71709
"Northeast Shoulder","North Twin Sister > Twin Sisters > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118061223/northeast-shoulder,1.0,-1,Trad,5.7,2,260,42.04346,-113.72077
"Nickle Crack","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118732644/nickle-crack,1.0,-1,Trad,5.10a,1,75,42.0809,-113.70743
"Kung Fu","Cannibal Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118728608/kung-fu,1.0,-1,Trad,5.8+,1,60,42.07757,-113.71282
"Cougar Face","Parking Lot Rock - East > Parking Lot Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118066722/cougar-face,1.0,-1,Trad,"5.8 R",2,170,42.08342,-113.72222
"East Crack","Upper Breadloaves - East > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/114496178/east-crack,1.0,-1,Trad,"5.7 R",1,200,42.08784,-113.72878
Nogales,"Lower Breadloaves - Provo Wall > Breadloaves > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/111988903/nogales,1.0,-1,Trad,5.9,1,110,42.08624,-113.72903
"Just a Pretty Day","Transformer Corridor > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107576828/just-a-pretty-day,1.0,-1,Trad,5.10a,1,60,42.078,-113.71315
"Birthday Boy","Building Blocks - West > Building Blocks > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/107332993/birthday-boy,1.0,-1,Trad,5.10a,1,110,42.08494,-113.69766
Sacrifice,"Lady Jessica's Rock > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/105740969/sacrifice,1.0,-1,Trad,"5.7 X",1,100,42.0841,-113.71386
"Summit Block","The Boxtop > City of Rocks > South Idaho > Idaho",https://www.mountainproject.com/route/118732795/summit-block,0.0,-1,Trad,"5.9 R",1,35,42.0809,-113.70743
